Date,site_no,flow_cfs,SWE_cm,dayl_s,prcp_mm_day,srad_W_m2,swe_cm,tmax_C,tmin_C,vp_Pa,tmean,convective_fraction,longwave_radiation,potential_energy,potential_evaporation,pressure,shortwave_radiation,specific_humidity,temperature,total_precipitation,wind_u,wind_v
1980-01-01,10164500,16.0,15.494,33000.78,4.5,92.79,3.985,1.03,-3.26,480.17,-1.1149999999999998,0.0132439929328621,278.6898380447586,5.994014134275618,0.0080459511189634,77096.49814487633,59.28883024146053,0.0034359998517507,-2.607361601884546,0.2669707155477032,0.7871054181389872,-0.0974926383981154
1980-01-02,10164500,16.0,15.494,33042.81,4.22,152.35,4.407,0.39,-7.08,359.27,-3.345,0.0,264.2655241460542,27.747052414605417,0.0107786493200295,77208.9871245583,80.44489813095831,0.0033668915656387,-3.740572732626596,0.0636614988221437,1.1680212014134277,-0.2386646054181389
1980-01-03,10164500,16.0,15.494,33088.28,0.0,275.87,4.407,0.64,-10.89,266.47,-5.125,0.0,221.82337603062427,0.0,0.0280927109968816,77163.61213486455,93.4977847467609,0.0027063309187279,-4.8991151354534495,0.0,-0.4016342756183745,1.407928445229682
1980-01-04,10164500,16.0,15.494,33137.14,0.0,274.48,4.407,5.02,-6.55,374.14,-0.7650000000000001,0.0,216.87807126030629,0.0,0.0411216283863368,76977.31093639576,108.58150500588928,0.0022282622065531,-3.537012661955217,0.0,-0.5725132508833922,1.812769434628975
1980-01-05,10164500,16.0,15.494,33189.38,0.0,282.73,4.354,7.72,-4.74,429.53,1.4899999999999998,0.0,265.4231934628976,0.0,0.0517649587750294,76906.15654151943,85.3741148409894,0.0023469985297141,-1.6230432862190545,0.007259628975265,-0.596229387514723,2.484022379269729
1980-01-06,10164500,16.0,15.494,33244.94,0.0,241.12,4.354,0.9,-8.15,330.7,-3.625,0.0,270.9198380447585,2.3081475265017666,0.0813827002355712,76657.22133392228,89.7947894581861,0.0027334089075382,-2.111503239104805,0.020412367491166,4.192025912838633,0.3354106756598985
1980-01-07,10164500,16.0,15.748,33303.8,0.0,198.42,4.354,-2.12,-9.01,309.15,-5.565,0.0,227.85215842167256,0.673831566548881,0.0900514870435807,76271.45868521789,105.59603901649,0.0015975668875147,-4.948537985865698,0.0173996908127208,2.740368080094228,0.4391887514723204
1980-01-08,10164500,16.0,15.748,33365.91,12.2,163.54,5.574000000000001,-0.02,-7.79,340.13,-3.905,0.0,252.58722762073032,2.984362779740871,0.0274625294464075,76180.08633392226,59.8894988221437,0.0027869515606595,-5.10470259128384,0.9479482332155476,2.258526207302709,2.51424617196702
1980-01-09,10164500,17.0,15.748,33431.22,43.16,169.49,9.89,1.33,-6.46,376.73,-2.565,0.0,251.0274028268551,0.5777997644287397,0.0154943462897526,76133.08165341578,76.71616784452297,0.003108236117036,-3.8179740871613457,0.1062672408716136,-0.437466136631331,3.4926413427561838
1980-01-10,10164500,16.0,23.367999999999988,33499.7,24.54,160.52,12.344,0.31,-6.73,369.16,-3.2100000000000004,0.2463859246171967,275.7726148409894,75.34585865724381,0.0372684187279151,75273.01310217903,84.37617196702003,0.0036551756193918,-1.4509864546525104,0.8047353062426383,5.316344228504122,4.571821260306242
1980-01-11,10164500,15.0,25.908,33571.29,26.55,250.98,14.999000000000002,-0.15,-14.96,191.31,-7.555000000000001,0.0263077885747938,206.8490915783274,3.88321554770318,0.0754476884570082,76368.39215106006,59.491355123674914,0.0018173250010172,-7.378595406360404,0.1443606595995288,0.0831610718492344,0.4390636042402826
1980-01-12,10164500,21.0,31.242,33645.94,27.56,247.26,17.755000000000003,3.95,-9.22,303.98,-2.635,0.0,283.2674528857479,0.3822756183745583,0.0016657558625381,76299.16865871614,59.10625176678445,0.0036912620740443,-2.95596731448761,1.3575285188457005,0.1182258539458187,6.207757656065959
1980-01-13,10164500,25.0,34.036,33723.62,39.03,132.41,17.506,5.34,-0.06,608.18,2.64,0.2671216578327444,285.2502223203769,16.53940636042403,-0.0071698428096703,76490.1510409305,68.61436984687867,0.0042310961866902,-0.5437985865724149,0.3146870288574793,1.5753651354534746,3.205728798586573
