Date,site_no,flow_cfs,814_SWE_cm,684_SWE_cm,dayl_s,prcp_mm_day,srad_W_m2,swe_cm,tmax_C,tmin_C,vp_Pa,tmean,convective_fraction,longwave_radiation,potential_energy,potential_evaporation,pressure,shortwave_radiation,specific_humidity,temperature,total_precipitation,wind_u,wind_v
2002-11-07,10133650,7.9,3.302,0.254,35830.68,0.0,254.07,0.0,13.24,-2.23,518.56,5.505,0.0,214.2006271701389,0.0,0.11695470920138891,76848.17680555554,120.21579497612848,0.0017617394097222223,2.0726426866319647,0.00015546875,0.7135156250000001,5.759071180555556
2002-11-08,10133650,12.6,3.302,0.0,35702.18,10.94,113.39,0.0,8.03,0.28,623.16,4.154999999999999,0.14592732204861114,285.8723502604167,4.075687500000001,0.1051001736111111,75932.6777777778,81.79347916666667,0.0035476828993055553,2.989430881076413,0.2746586805555556,2.6643272569444445,7.638324652777778
2002-11-09,10133650,15.3,5.588,0.0,35575.56,8.13,102.74,0.0,5.7,-1.12,562.66,2.29,0.2091709635416667,279.9615342881945,43.286204861111116,0.08638315667046441,75721.01041666667,100.92439149305557,0.0044868797743055555,1.7761138237847443,0.9678830295138889,6.414726562499999,4.644774305555557
2002-11-10,10133650,10.2,7.365999999999991,0.508,35450.88,5.75,102.15,0.0,2.22,-4.48,438.05,-1.1300000000000001,0.1899648220486111,254.23511718749998,23.85183333333334,0.06361425476074219,76354.39569444444,108.25166319444445,0.0031548406250000004,-1.9949473741319215,0.30906892361111116,5.045314670138889,1.1099804687500001
2002-11-11,10133650,10.6,8.381999999999989,1.27,35328.19,0.74,155.09,0.0,3.93,-3.8,461.25,0.06500000000000017,0.0119919921875,263.87792534722223,4.699166666666667,0.03040392795138889,76886.56833333334,76.44546354166665,0.0032951849826388887,-3.1369715711805313,0.11824995659722223,2.7044639756944444,-0.1310633680555555
2002-11-12,10133650,9.3,8.63599999999999,1.52399999999999,35207.56,0.0,260.54,0.0,7.02,-8.71,316.51,-0.8450000000000006,0.0,205.62336805555552,0.0015416666666666667,0.016414381917317707,77553.93888888891,125.56194444444444,0.0027484204861111115,-5.007044813368029,0.0,0.2860611979166666,2.006545138888889
2002-11-13,10133650,10.1,8.63599999999999,1.77799999999999,35089.04,2.07,121.43,0.0,3.5,-4.4,440.88,-0.4500000000000002,0.0,261.0734396701389,3.738409722222223,0.02584188368055556,77209.12944444444,77.08946440972223,0.0028601996527777775,-2.1247032335069242,0.06577144097222222,0.9117816840277778,1.9304882812500002
2002-11-14,10133650,10.8,8.88999999999999,1.77799999999999,34972.69,0.0,170.6,0.0,4.75,-3.62,467.48,0.565,0.0,249.17986762152782,5.728220486111112,0.004800434027777778,77028.15541666668,93.83341232638888,0.0035188875868055556,-3.4708669704860884,0.005380078125000001,2.035661892361111,-0.35329861111111116
2002-11-15,10133650,8.92,8.88999999999999,1.77799999999999,34858.56,0.0,222.74,0.0,5.33,-6.45,377.05,-0.56,0.0,216.06428168402772,7.423069444444444,0.016378645833333337,77415.99277777779,133.6464609375,0.0029545144965277773,-4.782712131076366,0.0,2.135993923611111,-0.7753710937500001
2002-11-16,10133650,7.29,8.88999999999999,1.77799999999999,34746.73,0.0,258.66,0.0,8.86,-6.65,371.25,1.1049999999999995,0.0,192.90696831597222,0.0,0.042807573784722226,77506.44083333334,132.62059809027778,0.0020941652777777776,-4.425868598090256,0.0,0.530386284722222,3.4003016493055553
2002-11-17,10133650,10.5,8.88999999999999,1.77799999999999,34637.23,0.0,245.82,0.0,7.78,-6.24,383.22,0.77,0.0,216.20348090277773,0.09710112847222221,0.05435295138888888,76887.86916666667,105.05883246527777,0.0022262811631944446,-1.997918836805534,0.0,1.8925976562499998,2.0427039930555555
2002-11-18,10133650,8.72,8.88999999999999,1.77799999999999,34530.14,0.0,248.69,0.0,6.57,-7.78,340.19,-0.605,0.0,205.3902582465278,0.48550694444444437,0.04129312065972222,77321.60152777778,127.47936111111112,0.002645975,-3.878425564236092,0.0,2.1191623263888886,0.14054036458333338
2002-11-19,10133650,8.48,8.88999999999999,1.77799999999999,34425.52,0.0,231.37,0.0,7.02,-5.54,404.42,0.7399999999999998,0.0,219.58182942708336,0.0,0.025868508232964414,77669.89,94.64025710720486,0.0023430515625,-4.797049696180535,0.0,1.2453776041666667,2.3672352430555557
2002-11-20,10133650,10.6,8.88999999999999,1.77799999999999,34323.41,0.0,253.51,0.0,10.43,-4.9,424.34,2.7649999999999997,0.0,216.03940104166665,0.0,0.006804969618055553,77901.78041666666,123.56069618055557,0.0027032458333333337,-4.051468098958313,0.0,-0.3986957465277778,-0.5530837673611111
